Stratification1,Stratification2,Data_Value
Male,White,332.1
Male,White,369.1
Male,White,330.3
Male,White,455.6
Male,White,521.3
Male,White,360.1
Male,White,461.1
Male,White,542.6
Male,White,405.2
Male,White,505.9
Male,White,331.4
Male,White,464.8
Male,White,504.7
Male,White,614.1
Male,White,412.4
Male,White,429.1
Male,White,261.3
Male,White,372.7
Male,White,470.6
Male,White,621.2
Male,White,472.2
Male,White,388.7
Male,White,360.4
Male,White,572.3
Male,White,410.9
Male,White,488.7
Male,White,344
Male,White,377.5
Male,White,513.2
Male,White,549.8
