Year,LocationAbbr,LocationDesc,GeographicLevel,DataSource,Class,Topic,Data_Value,Data_Value_Unit,Data_Value_Type,Data_Value_Footnote_Symbol,Data_Value_Footnote,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,TopicID,LocationID,Location 1
2014,AL,Bibb County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,131.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,Hispanic,T2,01007,"(32.999586, -87.128286)"
2014,AL,Escambia County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,116.3,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,Hispanic,T2,01053,"(31.133221, -87.162551)"
2014,AL,Jefferson County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,161.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,Hispanic,T2,01073,"(33.558145, -86.898116)"
2014,AL,Madison County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,71.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,Hispanic,T2,01089,"(34.765116, -86.548305)"
2014,AL,St. Clair County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,172.8,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,Hispanic,T2,01115,"(33.714796, -86.317073)"
2014,AL,Shelby County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,171.3,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,Hispanic,T2,01117,"(33.272349, -86.662124)"
2014,AL,Alabama,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,130.9,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,Hispanic,T2,01,"(32.7949, -86.8267)"
2014,AR,Benton County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,148.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,Hispanic,T2,05007,"(36.336622, -94.249746)"
2014,AR,Madison County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,165.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,Hispanic,T2,05087,"(36.012684, -93.719185)"
2014,AR,Washington County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,196.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,Hispanic,T2,05143,"(35.983532, -94.211027)"
2014,AR,Arkansas,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,106.4,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,Hispanic,T2,05,"(34.8982, -92.434)"
2014,AZ,Apache County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,220.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,Hispanic,T2,04001,"(35.395508, -109.48545)"
2014,AZ,Cochise County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,175.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,Hispanic,T2,04003,"(31.890942, -109.75114)"
